contig00109	17583	26.69
contig00110	17554	28.14
contig00111	17524	26.38
contig00112	17482	24.86
contig00113	17467	29.99
contig00114	17436	27.41
contig00115	17414	27.04
contig00116	17400	24.84
contig00117	17342	26.96
contig00118	17340	28.15
contig00119	17310	26.29
contig00120	17259	27.90
contig00121	17218	29.51
contig00122	17195	24.58
contig00123	17175	25.49
contig00124	17167	26.87
contig00125	17069	23.21
contig00126	17056	28.97
contig00127	16940	22.50
contig00128	16917	27.94
contig00129	16908	28.25
contig00130	16868	27.40
contig00131	16837	28.46
contig00132	16820	26.03
contig00133	16793	23.30
contig00134	16764	25.53
contig00135	16700	27.40
contig00136	16517	23.90
contig00137	16440	26.33
contig00138	16437	27.00
contig00139	16361	26.09
contig00140	16368	25.48
contig00141	16335	28.90
contig00142	16316	25.15
contig00143	16250	29.99
contig00144	16223	26.38
contig00145	16212	25.27
contig00146	16127	23.55
contig00147	16115	26.13
contig00148	16077	24.13
contig00149	15973	26.63
contig00150	15954	25.92
contig00151	15919	27.66
contig00152	15890	26.22
contig00153	15878	24.49
contig00154	15876	28.58
contig00155	15872	31.50
contig00156	15807	29.11
contig00157	15801	27.59
contig00158	15797	24.21
contig00159	15743	24.35
contig00160	15640	24.92
contig00161	15610	26.84
contig00162	15553	25.83
contig00163	15541	25.71
contig00164	15467	26.41
contig00165	15478	30.10
contig00166	15360	28.03
contig00167	15320	23.85
contig00168	15331	28.67
contig00169	15325	27.67
contig00170	15292	25.10
contig00171	15267	25.79
contig00172	15248	27.51
contig00173	15198	29.01
contig00174	15180	27.18
contig00175	15172	25.82
contig00176	15143	26.20
contig00177	15080	27.80
contig00178	15051	26.78
contig00179	14922	26.17
contig00180	14905	27.32
contig00181	14877	30.07
contig00182	14850	26.07
contig00183	14800	24.74
contig00184	14767	30.83
contig00185	14757	25.56
contig00186	14694	27.03
contig00187	14599	28.28
contig00188	14562	26.84
contig00189	14551	24.57
contig00190	14518	25.06
contig00191	14518	27.62
contig00192	14501	26.81
